Date,Equity
11/1/2010,"$59,550.00 "
11/3/2010,"$59,050.00 "
11/5/2010,"$60,450.00 "
11/8/2010,"$60,300.00 "
11/11/2010,"$58,400.00 "
11/16/2010,"$55,225.00 "
11/19/2010,"$57,675.00 "
11/22/2010,"$57,650.00 "
11/26/2010,"$57,050.00 "
11/29/2010,"$58,075.00 "
12/2/2010,"$60,125.00 "
12/3/2010,"$59,775.00 "
12/8/2010,"$58,325.00 "
12/9/2010,"$57,250.00 "
12/10/2010,"$57,050.00 "
12/13/2010,"$58,250.00 "
12/14/2010,"$58,125.00 "
12/16/2010,"$58,350.00 "
12/17/2010,"$58,550.00 "
12/20/2010,"$57,875.00 "
12/23/2010,"$59,275.00 "
12/27/2010,"$59,525.00 "
12/30/2010,"$58,825.00 "
12/31/2010,"$58,625.00 "
1/4/2011,"$60,925.00 "
1/5/2011,"$61,100.00 "
1/6/2011,"$60,800.00 "
1/7/2011,"$61,050.00 "
1/13/2011,"$63,800.00 "
1/14/2011,"$63,575.00 "
1/18/2011,"$63,250.00 "
1/25/2011,"$63,100.00 "
1/27/2011,"$62,975.00 "
1/31/2011,"$64,850.00 "
2/2/2011,"$69,650.00 "
2/3/2011,"$69,925.00 "
2/8/2011,"$69,575.00 "
2/15/2011,"$70,150.00 "
2/16/2011,"$69,650.00 "
2/17/2011,"$68,800.00 "
2/23/2011,"$71,550.00 "
3/1/2011,"$75,750.00 "
3/2/2011,"$77,625.00 "
3/4/2011,"$81,225.00 "
3/9/2011,"$80,225.00 "
3/11/2011,"$81,737.50 "
3/14/2011,"$82,287.50 "
3/22/2011,"$86,287.50 "
3/23/2011,"$86,937.50 "
3/28/2011,"$88,637.50 "
3/29/2011,"$89,087.50 "
3/31/2011,"$90,887.50 "
4/1/2011,"$90,712.50 "
4/4/2011,"$90,112.50 "
4/5/2011,"$89,887.50 "
4/6/2011,"$89,412.50 "
4/7/2011,"$87,737.50 "
4/14/2011,"$85,087.50 "
4/19/2011,"$84,337.50 "
4/21/2011,"$90,087.50 "
4/26/2011,"$89,587.50 "
4/27/2011,"$89,587.50 "
4/29/2011,"$88,362.50 "
5/2/2011,"$88,062.50 "
5/4/2011,"$89,187.50 "
