"Date","Time","Open","High","Low","Close","Vol","OI","exHurst1","exHurst2","xh4","exHurst1","exHurst2","xh5","p","xH1","xH2","Signal","Price","BarsAgo","BuildTime","Wavelength","dZ","edge%","~Hit%","~CallStrike","~PutStrike","MaxRetDate","x_est","ZMA","Upper Band","Lower Band"
06/27/2018,17:00,62.54,64.92,62.42,64.62,775155,406652,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.54,58.95,0.00,0.00
06/28/2018,17:00,64.13,65.89,64.06,65.31,717347,402545,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.95,59.93,0.00,0.00
06/29/2018,17:00,65.19,66.32,64.79,66.01,602399,394727,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.45,61.03,0.00,0.00
07/02/2018,17:00,65.48,66.21,64.37,65.80,652167,391048,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.98,62.15,0.00,0.00
07/03/2018,17:00,65.94,67.13,64.59,66.00,667235,388978,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.53,63.19,0.00,0.00
07/05/2018,17:00,66.09,66.76,64.39,64.80,841632,377643,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.06,64.04,0.00,0.00
07/06/2018,17:00,65.02,65.87,64.00,65.66,611419,371200,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.55,64.72,0.00,0.00
07/09/2018,17:00,65.73,66.14,64.85,65.71,533003,341953,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.01,65.24,0.00,0.00
07/10/2018,17:00,65.90,66.56,65.51,65.97,586829,302742,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.45,65.64,0.00,0.00
07/11/2018,17:00,66.06,66.12,61.88,62.24,861726,285706,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.78,65.74,0.00,0.00
